"resource","consumer"
"Species 246","Species 69"
"Species 247","Species 69"
"Species 248","Species 69"
"Species 250","Species 69"
"Species 252","Species 69"
"Species 253","Species 69"
"Species 258","Species 69"
"Species 259","Species 69"
"Species 260","Species 69"
"Species 261","Species 69"
"Species 264","Species 69"
"Species 265","Species 69"
"Species 266","Species 69"
"Species 267","Species 69"
"Species 268","Species 69"
"Species 269","Species 69"
"Species 270","Species 69"
"Species 271","Species 69"
"Species 272","Species 69"
"Species 273","Species 69"
"Species 274","Species 69"
"Species 275","Species 69"
"Species 276","Species 69"
"Species 277","Species 69"
"Species 282","Species 69"
"Species 278","Species 69"
"Species 12","Species 71"
"Species 22","Species 71"
"Species 23","Species 71"
"Species 26","Species 71"
"Species 27","Species 71"
"Species 28","Species 71"
"Species 29","Species 71"
"Species 30","Species 71"
"Species 31","Species 71"
"Species 32","Species 71"
"Species 33","Species 71"
"Species 45","Species 71"
"Species 46","Species 71"
"Species 59","Species 71"
"Species 60","Species 71"
"Species 61","Species 71"
"Species 62","Species 71"
"Species 63","Species 71"
"Species 64","Species 71"
"Species 68","Species 71"
"Species 69","Species 71"
"Species 71","Species 71"
"Species 73","Species 71"
"Species 74","Species 71"
"Species 233","Species 71"
"Species 234","Species 71"
"Species 235","Species 71"
"Species 236","Species 71"
"Species 237","Species 71"
"Species 238","Species 71"
"Species 239","Species 71"
"Species 281","Species 71"
"Species 242","Species 71"
"Species 243","Species 71"
"Species 244","Species 71"
"Species 245","Species 71"
"Species 246","Species 71"
"Species 247","Species 71"
"Species 248","Species 71"
"Species 250","Species 71"
"Species 252","Species 71"
"Species 253","Species 71"
"Species 258","Species 71"
"Species 259","Species 71"
"Species 260","Species 71"
"Species 261","Species 71"
"Species 264","Species 71"
"Species 265","Species 71"
"Species 266","Species 71"
"Species 267","Species 71"
"Species 268","Species 71"
"Species 269","Species 71"
"Species 270","Species 71"
"Species 271","Species 71"
"Species 272","Species 71"
"Species 273","Species 71"
"Species 274","Species 71"
"Species 275","Species 71"
"Species 276","Species 71"
"Species 277","Species 71"
"Species 282","Species 71"
"Species 278","Species 71"
"Species 12","Species 73"
"Species 233","Species 73"
"Species 234","Species 73"
"Species 235","Species 73"
"Species 236","Species 73"
"Species 237","Species 73"
"Species 238","Species 73"
"Species 239","Species 73"
"Species 281","Species 73"
"Species 242","Species 73"
"Species 243","Species 73"
"Species 244","Species 73"
"Species 245","Species 73"
"Species 246","Species 73"
"Species 247","Species 73"
"Species 248","Species 73"
"Species 250","Species 73"
"Species 252","Species 73"
"Species 253","Species 73"
"Species 258","Species 73"
"Species 259","Species 73"
"Species 260","Species 73"
"Species 261","Species 73"
"Species 264","Species 73"
"Species 265","Species 73"
"Species 266","Species 73"
"Species 267","Species 73"
"Species 268","Species 73"
"Species 269","Species 73"
"Species 270","Species 73"
"Species 271","Species 73"
"Species 272","Species 73"
"Species 273","Species 73"
"Species 274","Species 73"
"Species 275","Species 73"
"Species 276","Species 73"
"Species 277","Species 73"
"Species 282","Species 73"
"Species 278","Species 73"
"Species 12","Species 74"
"Species 22","Species 74"
"Species 23","Species 74"
"Species 26","Species 74"
"Species 27","Species 74"
"Species 28","Species 74"
"Species 29","Species 74"
"Species 30","Species 74"
"Species 31","Species 74"
"Species 32","Species 74"
"Species 33","Species 74"
"Species 45","Species 74"
"Species 46","Species 74"
"Species 59","Species 74"
"Species 60","Species 74"
"Species 61","Species 74"
"Species 62","Species 74"
"Species 63","Species 74"
"Species 64","Species 74"
"Species 68","Species 74"
"Species 69","Species 74"
"Species 71","Species 74"
"Species 73","Species 74"
"Species 74","Species 74"
"Species 2","Species 75"
"Species 6","Species 75"
"Species 3","Species 76"
"Species 2","Species 78"
"Species 6","Species 78"
"Species 10","Species 78"
"Species 2","Species 79"
"Species 6","Species 79"
"Species 2","Species 80"
"Species 6","Species 80"
"Species 10","Species 80"
"Species 2","Species 81"
"Species 6","Species 81"
"Species 3","Species 82"
"Species 1","Species 83"
"Species 2","Species 83"
"Species 78","Species 83"
"Species 2","Species 84"
"Species 59","Species 85"
"Species 68","Species 85"
"Species 71","Species 85"
"Species 73","Species 85"
"Species 141","Species 86"
"Species 142","Species 86"
"Species 145","Species 86"
"Species 146","Species 86"
"Species 147","Species 86"
"Species 149","Species 86"
"Species 150","Species 86"
"Species 152","Species 86"
"Species 153","Species 86"
"Species 154","Species 86"
"Species 157","Species 86"
"Species 158","Species 86"
"Species 159","Species 86"
"Species 160","Species 86"
"Species 164","Species 86"
"Species 165","Species 86"
"Species 167","Species 86"
"Species 168","Species 86"
"Species 169","Species 86"
"Species 172","Species 86"
"Species 173","Species 86"
"Species 174","Species 86"
"Species 175","Species 86"
"Species 178","Species 86"
"Species 179","Species 86"
"Species 180","Species 86"
"Species 181","Species 86"
"Species 182","Species 86"
"Species 184","Species 86"
"Species 186","Species 86"
"Species 189","Species 86"
"Species 190","Species 86"
"Species 191","Species 86"
"Species 195","Species 86"
"Species 196","Species 86"
"Species 197","Species 86"
"Species 198","Species 86"
"Species 199","Species 86"
"Species 200","Species 86"
"Species 203","Species 86"
"Species 205","Species 86"
"Species 206","Species 86"
"Species 207","Species 86"
"Species 208","Species 86"
"Species 209","Species 86"
"Species 227","Species 86"
"Species 118","Species 87"
"Species 121","Species 87"
"Species 141","Species 90"
"Species 142","Species 90"
"Species 145","Species 90"
"Species 146","Species 90"
"Species 147","Species 90"
"Species 149","Species 90"
"Species 150","Species 90"
"Species 152","Species 90"
"Species 153","Species 90"
"Species 154","Species 90"
"Species 157","Species 90"
"Species 158","Species 90"
"Species 159","Species 90"
"Species 160","Species 90"
"Species 164","Species 90"
"Species 165","Species 90"
"Species 167","Species 90"
"Species 168","Species 90"
"Species 169","Species 90"
"Species 172","Species 90"
"Species 173","Species 90"
"Species 174","Species 90"
"Species 175","Species 90"
"Species 178","Species 90"
"Species 179","Species 90"
"Species 180","Species 90"
"Species 181","Species 90"
"Species 182","Species 90"
"Species 184","Species 90"
"Species 186","Species 90"
"Species 189","Species 90"
"Species 190","Species 90"
"Species 191","Species 90"
"Species 195","Species 90"
"Species 196","Species 90"
"Species 197","Species 90"
"Species 198","Species 90"
"Species 199","Species 90"
"Species 200","Species 90"
"Species 203","Species 90"
"Species 205","Species 90"
"Species 206","Species 90"
"Species 207","Species 90"
"Species 208","Species 90"
"Species 209","Species 90"
"Species 227","Species 90"
"Species 12","Species 92"
"Species 1","Species 94"
"Species 2","Species 94"
"Species 6","Species 94"
"Species 2","Species 95"
"Species 6","Species 95"
"Species 10","Species 95"
"Species 2","Species 100"
"Species 2","Species 104"
"Species 12","Species 104"
"Species 2","Species 109"
"Species 3","Species 109"
"Species 2","Species 110"
"Species 6","Species 110"
"Species 2","Species 86"
"Species 3","Species 86"
"Species 2","Species 90"
"Species 3","Species 90"
"Species 2","Species 111"
"Species 12","Species 111"
"Species 2","Species 112"
"Species 12","Species 112"
"Species 21","Species 112"
"Species 22","Species 112"
"Species 23","Species 112"
"Species 26","Species 112"
"Species 27","Species 112"
"Species 28","Species 112"
"Species 29","Species 112"
"Species 30","Species 112"
"Species 31","Species 112"
"Species 32","Species 112"
"Species 33","Species 112"
"Species 45","Species 112"
"Species 46","Species 112"
"Species 59","Species 112"
"Species 60","Species 112"
"Species 61","Species 112"
"Species 62","Species 112"
"Species 63","Species 112"
"Species 64","Species 112"
"Species 68","Species 112"
"Species 69","Species 112"
"Species 71","Species 112"
"Species 73","Species 112"
"Species 74","Species 112"
"Species 92","Species 112"
"Species 104","Species 112"
"Species 244","Species 112"
"Species 247","Species 112"
"Species 248","Species 112"
"Species 283","Species 112"
"Species 286","Species 112"
