"resource","consumer"
"Species 54","Species 47"
"Species 54","Species 48"
"Species 55","Species 22"
"Species 55","Species 23"
"Species 55","Species 27"
"Species 55","Species 28"
"Species 55","Species 32"
"Species 55","Species 35"
"Species 55","Species 36"
"Species 55","Species 37"
"Species 55","Species 39"
"Species 55","Species 44"
"Species 56","Species 45"
"Species 56","Species 46"
"Species 56","Species 48"
"Species 56","Species 22"
"Species 56","Species 23"
"Species 56","Species 27"
"Species 56","Species 28"
"Species 56","Species 32"
"Species 56","Species 35"
"Species 56","Species 36"
"Species 56","Species 37"
"Species 56","Species 39"
"Species 56","Species 44"
"Species 56","Species 58"
"Species 56","Species 6"
"Species 56","Species 7"
"Species 56","Species 11"
"Species 56","Species 16"
"Species 56","Species 17"
"Species 56","Species 18"
"Species 56","Species 19"
"Species 56","Species 29"
"Species 56","Species 30"
"Species 56","Species 33"
"Species 56","Species 34"
"Species 56","Species 24"
"Species 56","Species 38"
"Species 56","Species 40"
"Species 56","Species 47"
"Species 57","Species 22"
"Species 57","Species 24"
"Species 57","Species 27"
"Species 57","Species 28"
"Species 57","Species 32"
"Species 57","Species 35"
"Species 57","Species 36"
"Species 57","Species 37"
"Species 57","Species 39"
"Species 57","Species 40"
"Species 57","Species 44"
"Species 57","Species 45"
"Species 57","Species 46"
"Species 57","Species 47"
"Species 57","Species 48"
"Species 57","Species 23"
"Species 57","Species 56"
"Species 57","Species 58"
"Species 57","Species 62"
"Species 57","Species 6"
"Species 57","Species 7"
"Species 57","Species 9"
"Species 57","Species 10"
"Species 57","Species 11"
"Species 57","Species 12"
"Species 57","Species 16"
"Species 57","Species 17"
"Species 57","Species 18"
"Species 57","Species 19"
"Species 57","Species 21"
"Species 57","Species 29"
"Species 57","Species 30"
"Species 57","Species 31"
"Species 57","Species 33"
"Species 57","Species 34"
"Species 58","Species 39"
"Species 58","Species 45"
"Species 58","Species 46"
"Species 58","Species 48"
"Species 58","Species 22"
"Species 58","Species 23"
"Species 58","Species 27"
"Species 58","Species 28"
"Species 58","Species 32"
"Species 58","Species 35"
"Species 58","Species 36"
"Species 58","Species 37"
"Species 58","Species 44"
"Species 58","Species 6"
"Species 58","Species 7"
"Species 58","Species 11"
"Species 58","Species 16"
"Species 58","Species 17"
"Species 58","Species 18"
"Species 58","Species 19"
"Species 58","Species 29"
"Species 58","Species 30"
"Species 58","Species 33"
"Species 58","Species 34"
"Species 58","Species 24"
"Species 58","Species 38"
"Species 58","Species 40"
"Species 58","Species 47"
"Species 59","Species 45"
"Species 59","Species 46"
"Species 59","Species 48"
"Species 59","Species 22"
"Species 59","Species 23"
"Species 59","Species 27"
"Species 59","Species 28"
"Species 59","Species 32"
"Species 59","Species 35"
"Species 59","Species 36"
"Species 59","Species 37"
"Species 59","Species 39"
"Species 59","Species 44"
"Species 59","Species 6"
"Species 59","Species 7"
"Species 59","Species 11"
"Species 59","Species 16"
"Species 59","Species 17"
"Species 59","Species 18"
"Species 59","Species 19"
"Species 59","Species 29"
"Species 59","Species 30"
"Species 59","Species 33"
"Species 59","Species 34"
"Species 59","Species 24"
"Species 59","Species 38"
"Species 59","Species 40"
"Species 59","Species 47"
"Species 60","Species 27"
"Species 60","Species 28"
"Species 60","Species 36"
"Species 60","Species 37"
"Species 60","Species 38"
"Species 60","Species 39"
"Species 60","Species 40"
"Species 60","Species 44"
"Species 60","Species 45"
"Species 60","Species 46"
"Species 60","Species 47"
"Species 60","Species 48"
"Species 60","Species 22"
"Species 60","Species 23"
"Species 60","Species 32"
"Species 60","Species 35"
"Species 60","Species 56"
"Species 60","Species 57"
"Species 60","Species 58"
"Species 60","Species 62"
"Species 60","Species 6"
"Species 60","Species 7"
"Species 60","Species 11"
"Species 60","Species 16"
"Species 60","Species 17"
"Species 60","Species 18"
"Species 60","Species 19"
"Species 60","Species 29"
"Species 60","Species 30"
"Species 60","Species 33"
"Species 60","Species 34"
"Species 60","Species 12"
"Species 60","Species 24"
"Species 60","Species 26"
"Species 60","Species 41"
"Species 60","Species 42"
"Species 60","Species 43"
"Species 61","Species 22"
"Species 61","Species 23"
"Species 61","Species 27"
"Species 61","Species 28"
"Species 61","Species 32"
"Species 61","Species 35"
"Species 61","Species 36"
"Species 61","Species 37"
"Species 61","Species 39"
"Species 61","Species 44"
