"resource","consumer"
"Species 440","Species 160"
"Species 442","Species 160"
"Species 464","Species 160"
"Species 467","Species 160"
"Species 476","Species 160"
"Species 477","Species 160"
"Species 490","Species 160"
"Species 500","Species 160"
"Species 2","Species 161"
"Species 3","Species 161"
"Species 6","Species 161"
"Species 10","Species 161"
"Species 74","Species 162"
"Species 129","Species 162"
"Species 139","Species 162"
"Species 140","Species 162"
"Species 159","Species 162"
"Species 160","Species 162"
"Species 165","Species 162"
"Species 168","Species 162"
"Species 173","Species 162"
"Species 260","Species 162"
"Species 266","Species 162"
"Species 274","Species 162"
"Species 275","Species 162"
"Species 277","Species 162"
"Species 293","Species 162"
"Species 353","Species 162"
"Species 355","Species 162"
"Species 358","Species 162"
"Species 365","Species 162"
"Species 366","Species 162"
"Species 374","Species 162"
"Species 385","Species 162"
"Species 386","Species 162"
"Species 391","Species 162"
"Species 402","Species 162"
"Species 403","Species 162"
"Species 404","Species 162"
"Species 407","Species 162"
"Species 409","Species 162"
"Species 413","Species 162"
"Species 415","Species 162"
"Species 418","Species 162"
"Species 432","Species 162"
"Species 434","Species 162"
"Species 435","Species 162"
"Species 437","Species 162"
"Species 438","Species 162"
"Species 439","Species 162"
"Species 441","Species 162"
"Species 442","Species 162"
"Species 443","Species 162"
"Species 444","Species 162"
"Species 445","Species 162"
"Species 454","Species 162"
"Species 455","Species 162"
"Species 456","Species 162"
"Species 457","Species 162"
"Species 458","Species 162"
"Species 462","Species 162"
"Species 465","Species 162"
"Species 466","Species 162"
"Species 467","Species 162"
"Species 470","Species 162"
"Species 479","Species 162"
"Species 488","Species 162"
"Species 491","Species 162"
"Species 498","Species 162"
"Species 500","Species 162"
"Species 2","Species 164"
"Species 10","Species 164"
"Species 21","Species 164"
"Species 50","Species 164"
"Species 68","Species 164"
"Species 101","Species 164"
"Species 104","Species 164"
"Species 105","Species 164"
"Species 106","Species 164"
"Species 107","Species 164"
"Species 108","Species 164"
"Species 110","Species 164"
"Species 111","Species 164"
"Species 112","Species 164"
"Species 113","Species 164"
"Species 132","Species 164"
"Species 144","Species 164"
"Species 413","Species 164"
"Species 415","Species 164"
"Species 454","Species 164"
"Species 455","Species 164"
"Species 456","Species 164"
"Species 457","Species 164"
"Species 458","Species 164"
"Species 479","Species 164"
"Species 498","Species 164"
"Species 21","Species 165"
"Species 50","Species 165"
"Species 68","Species 165"
"Species 101","Species 165"
"Species 104","Species 165"
"Species 105","Species 165"
"Species 106","Species 165"
"Species 107","Species 165"
"Species 108","Species 165"
"Species 110","Species 165"
"Species 111","Species 165"
"Species 112","Species 165"
"Species 113","Species 165"
"Species 129","Species 165"
"Species 139","Species 165"
"Species 140","Species 165"
"Species 144","Species 165"
"Species 150","Species 165"
"Species 353","Species 165"
"Species 354","Species 165"
"Species 355","Species 165"
"Species 357","Species 165"
"Species 358","Species 165"
"Species 359","Species 165"
"Species 360","Species 165"
"Species 365","Species 165"
"Species 366","Species 165"
"Species 369","Species 165"
"Species 370","Species 165"
"Species 374","Species 165"
"Species 384","Species 165"
"Species 385","Species 165"
"Species 386","Species 165"
"Species 387","Species 165"
"Species 388","Species 165"
"Species 390","Species 165"
"Species 391","Species 165"
"Species 392","Species 165"
"Species 393","Species 165"
"Species 394","Species 165"
"Species 395","Species 165"
"Species 396","Species 165"
"Species 399","Species 165"
"Species 400","Species 165"
"Species 413","Species 165"
"Species 415","Species 165"
"Species 442","Species 165"
"Species 454","Species 165"
"Species 455","Species 165"
"Species 456","Species 165"
"Species 457","Species 165"
"Species 458","Species 165"
"Species 479","Species 165"
"Species 498","Species 165"
"Species 129","Species 166"
"Species 139","Species 166"
"Species 140","Species 166"
"Species 413","Species 166"
"Species 415","Species 166"
"Species 442","Species 166"
"Species 454","Species 166"
"Species 455","Species 166"
"Species 456","Species 166"
"Species 457","Species 166"
"Species 458","Species 166"
"Species 479","Species 166"
"Species 498","Species 166"
"Species 10","Species 167"
"Species 25","Species 167"
"Species 35","Species 167"
"Species 44","Species 167"
"Species 50","Species 167"
"Species 68","Species 167"
"Species 75","Species 167"
"Species 77","Species 167"
"Species 101","Species 167"
"Species 104","Species 167"
"Species 105","Species 167"
"Species 106","Species 167"
"Species 107","Species 167"
"Species 108","Species 167"
"Species 110","Species 167"
"Species 111","Species 167"
"Species 112","Species 167"
"Species 113","Species 167"
"Species 115","Species 167"
"Species 116","Species 167"
"Species 129","Species 167"
"Species 132","Species 167"
"Species 139","Species 167"
"Species 140","Species 167"
"Species 144","Species 167"
"Species 150","Species 167"
"Species 151","Species 167"
"Species 152","Species 167"
"Species 153","Species 167"
"Species 154","Species 167"
"Species 262","Species 167"
"Species 263","Species 167"
"Species 264","Species 167"
"Species 265","Species 167"
"Species 328","Species 167"
"Species 337","Species 167"
"Species 353","Species 167"
"Species 354","Species 167"
"Species 355","Species 167"
"Species 357","Species 167"
"Species 358","Species 167"
"Species 359","Species 167"
"Species 360","Species 167"
"Species 365","Species 167"
"Species 366","Species 167"
"Species 369","Species 167"
"Species 370","Species 167"
"Species 374","Species 167"
"Species 384","Species 167"
"Species 385","Species 167"
"Species 386","Species 167"
"Species 387","Species 167"
"Species 388","Species 167"
"Species 390","Species 167"
