"resource","consumer"
"Species 51","Species 102"
"Species 52","Species 24"
"Species 52","Species 25"
"Species 52","Species 27"
"Species 52","Species 28"
"Species 52","Species 29"
"Species 52","Species 30"
"Species 52","Species 31"
"Species 52","Species 32"
"Species 52","Species 33"
"Species 52","Species 34"
"Species 52","Species 35"
"Species 52","Species 36"
"Species 52","Species 37"
"Species 52","Species 48"
"Species 52","Species 50"
"Species 52","Species 52"
"Species 52","Species 54"
"Species 52","Species 55"
"Species 52","Species 56"
"Species 52","Species 57"
"Species 52","Species 59"
"Species 52","Species 61"
"Species 52","Species 72"
"Species 52","Species 77"
"Species 52","Species 102"
"Species 53","Species 49"
"Species 53","Species 53"
"Species 53","Species 55"
"Species 53","Species 57"
"Species 53","Species 61"
"Species 53","Species 64"
"Species 53","Species 65"
"Species 53","Species 66"
"Species 53","Species 67"
"Species 53","Species 68"
"Species 53","Species 69"
"Species 53","Species 72"
"Species 53","Species 77"
"Species 53","Species 102"
"Species 54","Species 24"
"Species 54","Species 25"
"Species 54","Species 27"
"Species 54","Species 28"
"Species 54","Species 29"
"Species 54","Species 34"
"Species 54","Species 35"
"Species 54","Species 36"
"Species 54","Species 37"
"Species 54","Species 48"
"Species 54","Species 50"
"Species 54","Species 52"
"Species 54","Species 54"
"Species 54","Species 55"
"Species 54","Species 56"
"Species 54","Species 57"
"Species 54","Species 59"
"Species 54","Species 61"
"Species 54","Species 72"
"Species 54","Species 77"
"Species 54","Species 102"
"Species 55","Species 34"
"Species 55","Species 35"
"Species 55","Species 63"
"Species 55","Species 73"
"Species 55","Species 75"
"Species 55","Species 79"
"Species 55","Species 81"
"Species 55","Species 86"
"Species 55","Species 94"
"Species 55","Species 98"
"Species 55","Species 99"
"Species 56","Species 24"
"Species 56","Species 25"
"Species 56","Species 28"
"Species 56","Species 29"
"Species 56","Species 34"
"Species 56","Species 35"
"Species 56","Species 36"
"Species 56","Species 37"
"Species 56","Species 48"
"Species 56","Species 54"
"Species 56","Species 55"
"Species 56","Species 56"
"Species 56","Species 57"
"Species 56","Species 61"
"Species 56","Species 63"
"Species 56","Species 67"
"Species 56","Species 68"
"Species 56","Species 69"
"Species 56","Species 70"
"Species 56","Species 71"
"Species 56","Species 73"
"Species 56","Species 75"
"Species 56","Species 79"
"Species 56","Species 81"
"Species 56","Species 86"
"Species 56","Species 94"
"Species 56","Species 98"
"Species 56","Species 110"
"Species 57","Species 34"
"Species 57","Species 35"
"Species 57","Species 36"
"Species 57","Species 37"
"Species 57","Species 57"
"Species 57","Species 61"
"Species 57","Species 63"
"Species 57","Species 68"
"Species 57","Species 69"
"Species 57","Species 70"
"Species 57","Species 71"
"Species 57","Species 73"
"Species 57","Species 75"
"Species 57","Species 79"
"Species 57","Species 86"
"Species 57","Species 94"
"Species 57","Species 98"
"Species 57","Species 99"
"Species 57","Species 106"
"Species 57","Species 107"
"Species 58","Species 24"
"Species 58","Species 25"
"Species 58","Species 28"
"Species 58","Species 29"
"Species 58","Species 34"
"Species 58","Species 35"
"Species 58","Species 36"
"Species 58","Species 37"
"Species 58","Species 48"
"Species 58","Species 54"
"Species 58","Species 55"
"Species 58","Species 56"
"Species 58","Species 57"
"Species 58","Species 61"
"Species 58","Species 63"
"Species 58","Species 67"
"Species 58","Species 68"
"Species 58","Species 69"
"Species 58","Species 70"
"Species 58","Species 73"
"Species 58","Species 75"
"Species 58","Species 79"
"Species 58","Species 86"
"Species 58","Species 94"
"Species 58","Species 98"
"Species 58","Species 106"
"Species 58","Species 110"
"Species 59","Species 34"
"Species 59","Species 35"
"Species 59","Species 36"
"Species 59","Species 37"
"Species 59","Species 55"
"Species 59","Species 57"
"Species 59","Species 59"
"Species 59","Species 61"
"Species 59","Species 63"
"Species 59","Species 67"
"Species 59","Species 68"
"Species 59","Species 69"
"Species 59","Species 70"
"Species 59","Species 71"
"Species 59","Species 73"
"Species 59","Species 75"
"Species 59","Species 79"
"Species 59","Species 86"
"Species 59","Species 94"
"Species 59","Species 98"
"Species 59","Species 99"
"Species 59","Species 106"
"Species 59","Species 107"
"Species 60","Species 24"
"Species 60","Species 25"
"Species 60","Species 28"
"Species 60","Species 29"
"Species 60","Species 34"
"Species 60","Species 35"
"Species 60","Species 36"
"Species 60","Species 37"
"Species 60","Species 48"
"Species 60","Species 54"
"Species 60","Species 55"
"Species 60","Species 56"
"Species 60","Species 57"
"Species 60","Species 61"
"Species 60","Species 63"
"Species 60","Species 67"
"Species 60","Species 68"
"Species 60","Species 69"
"Species 60","Species 70"
"Species 60","Species 71"
"Species 60","Species 73"
"Species 60","Species 75"
"Species 60","Species 79"
"Species 60","Species 86"
"Species 60","Species 94"
"Species 60","Species 98"
"Species 60","Species 106"
"Species 60","Species 110"
"Species 61","Species 34"
"Species 61","Species 35"
"Species 61","Species 55"
"Species 61","Species 61"
"Species 61","Species 63"
"Species 61","Species 67"
"Species 61","Species 68"
"Species 61","Species 69"
"Species 61","Species 70"
"Species 61","Species 71"
"Species 61","Species 73"
"Species 61","Species 75"
"Species 61","Species 79"
"Species 61","Species 86"
"Species 61","Species 87"
"Species 61","Species 94"
"Species 61","Species 98"
"Species 61","Species 99"
"Species 61","Species 106"
"Species 61","Species 107"
"Species 62","Species 24"
"Species 62","Species 25"
"Species 62","Species 28"
"Species 62","Species 29"
"Species 62","Species 34"
"Species 62","Species 35"
"Species 62","Species 36"
"Species 62","Species 37"
"Species 62","Species 48"
"Species 62","Species 54"
"Species 62","Species 55"
"Species 62","Species 56"
"Species 62","Species 61"
"Species 62","Species 63"
"Species 62","Species 67"
"Species 62","Species 68"
"Species 62","Species 69"
"Species 62","Species 70"
"Species 62","Species 71"
"Species 62","Species 73"
"Species 62","Species 75"
"Species 62","Species 79"
"Species 62","Species 86"
"Species 62","Species 90"
"Species 62","Species 94"
"Species 62","Species 98"
"Species 62","Species 106"
"Species 62","Species 110"
"Species 63","Species 68"
"Species 63","Species 69"
"Species 63","Species 71"
"Species 63","Species 106"
"Species 64","Species 68"
"Species 64","Species 69"
"Species 65","Species 68"
"Species 65","Species 69"
"Species 66","Species 68"
"Species 66","Species 69"
"Species 67","Species 68"
"Species 67","Species 69"
"Species 67","Species 71"
"Species 67","Species 83"
