"resource","consumer"
"Species 38","Species 125"
"Species 39","Species 125"
"Species 40","Species 125"
"Species 41","Species 125"
"Species 42","Species 125"
"Species 43","Species 125"
"Species 45","Species 125"
"Species 53","Species 125"
"Species 88","Species 125"
"Species 89","Species 125"
"Species 91","Species 125"
"Species 96","Species 125"
"Species 97","Species 125"
"Species 98","Species 125"
"Species 100","Species 125"
"Species 101","Species 125"
"Species 103","Species 125"
"Species 105","Species 125"
"Species 108","Species 125"
"Species 109","Species 125"
"Species 111","Species 125"
"Species 114","Species 125"
"Species 119","Species 125"
"Species 121","Species 125"
"Species 136","Species 125"
"Species 138","Species 125"
"Species 211","Species 125"
"Species 216","Species 125"
"Species 220","Species 125"
"Species 225","Species 125"
"Species 228","Species 125"
"Species 231","Species 125"
"Species 244","Species 125"
"Species 248","Species 125"
"Species 233","Species 125"
"Species 235","Species 125"
"Species 238","Species 125"
"Species 245","Species 125"
"Species 246","Species 125"
"Species 256","Species 125"
"Species 257","Species 125"
"Species 260","Species 125"
"Species 266","Species 125"
"Species 272","Species 125"
"Species 234","Species 125"
"Species 239","Species 125"
"Species 240","Species 125"
"Species 241","Species 125"
"Species 247","Species 125"
"Species 250","Species 125"
"Species 259","Species 125"
"Species 262","Species 125"
"Species 263","Species 125"
"Species 265","Species 125"
"Species 268","Species 125"
"Species 269","Species 125"
"Species 271","Species 125"
"Species 273","Species 125"
"Species 274","Species 125"
"Species 275","Species 125"
"Species 276","Species 125"
"Species 277","Species 125"
"Species 279","Species 125"
"Species 283","Species 125"
"Species 287","Species 125"
"Species 288","Species 125"
"Species 290","Species 125"
"Species 293","Species 125"
"Species 295","Species 125"
"Species 301","Species 125"
"Species 294","Species 125"
"Species 303","Species 125"
"Species 305","Species 125"
"Species 310","Species 125"
"Species 311","Species 125"
"Species 2","Species 128"
"Species 10","Species 128"
"Species 111","Species 130"
"Species 114","Species 130"
"Species 118","Species 130"
"Species 119","Species 130"
"Species 121","Species 130"
"Species 125","Species 130"
"Species 136","Species 130"
"Species 138","Species 130"
"Species 211","Species 130"
"Species 220","Species 130"
"Species 225","Species 130"
"Species 228","Species 130"
"Species 231","Species 130"
"Species 244","Species 130"
"Species 248","Species 130"
"Species 238","Species 130"
"Species 245","Species 130"
"Species 266","Species 130"
"Species 233","Species 130"
"Species 234","Species 130"
"Species 239","Species 130"
"Species 240","Species 130"
"Species 241","Species 130"
"Species 262","Species 130"
"Species 263","Species 130"
"Species 265","Species 130"
"Species 268","Species 130"
"Species 269","Species 130"
"Species 271","Species 130"
"Species 272","Species 130"
"Species 273","Species 130"
"Species 274","Species 130"
"Species 275","Species 130"
"Species 277","Species 130"
"Species 279","Species 130"
"Species 283","Species 130"
"Species 287","Species 130"
"Species 288","Species 130"
"Species 290","Species 130"
"Species 293","Species 130"
"Species 295","Species 130"
"Species 301","Species 130"
"Species 303","Species 130"
"Species 305","Species 130"
"Species 310","Species 130"
"Species 311","Species 130"
"Species 34","Species 131"
"Species 111","Species 131"
"Species 114","Species 131"
"Species 211","Species 131"
"Species 220","Species 131"
"Species 225","Species 131"
"Species 238","Species 131"
"Species 245","Species 131"
"Species 266","Species 131"
"Species 233","Species 131"
"Species 234","Species 131"
"Species 246","Species 131"
"Species 250","Species 131"
"Species 262","Species 131"
"Species 269","Species 131"
"Species 274","Species 131"
"Species 290","Species 131"
"Species 295","Species 131"
"Species 301","Species 131"
"Species 303","Species 131"
"Species 310","Species 131"
"Species 34","Species 134"
"Species 111","Species 134"
"Species 114","Species 134"
"Species 211","Species 134"
"Species 220","Species 134"
"Species 225","Species 134"
"Species 238","Species 134"
"Species 245","Species 134"
"Species 266","Species 134"
"Species 233","Species 134"
"Species 234","Species 134"
"Species 246","Species 134"
"Species 250","Species 134"
"Species 262","Species 134"
"Species 269","Species 134"
"Species 274","Species 134"
"Species 290","Species 134"
"Species 295","Species 134"
"Species 301","Species 134"
"Species 303","Species 134"
"Species 310","Species 134"
"Species 24","Species 136"
"Species 34","Species 136"
"Species 36","Species 136"
"Species 37","Species 136"
"Species 38","Species 136"
"Species 39","Species 136"
"Species 40","Species 136"
"Species 41","Species 136"
"Species 42","Species 136"
"Species 89","Species 136"
"Species 91","Species 136"
"Species 96","Species 136"
"Species 97","Species 136"
"Species 98","Species 136"
"Species 100","Species 136"
"Species 101","Species 136"
"Species 103","Species 136"
"Species 105","Species 136"
"Species 107","Species 136"
"Species 108","Species 136"
"Species 110","Species 136"
"Species 233","Species 136"
"Species 234","Species 136"
"Species 235","Species 136"
"Species 237","Species 136"
"Species 238","Species 136"
"Species 239","Species 136"
"Species 240","Species 136"
"Species 245","Species 136"
"Species 246","Species 136"
"Species 250","Species 136"
"Species 254","Species 136"
"Species 256","Species 136"
"Species 257","Species 136"
"Species 259","Species 136"
"Species 260","Species 136"
