ConsumerNodeID,ResourceNodeID,ConsumerSpeciesID,ResourceSpeciesID,ConsumerStageID,ResourceStageID,ConsumerSpecies.StageID,ResourceSpecies.StageID,LinkTypeID,LinkType,LinkEvidence,LinkEvidenceNotes,LinkFrequency,LinkN,DietFraction,ConsumptionRate,VectorFrom,PreyFrom
50,9,33,9,2,1,33.2,9.1,1,predation,modelled,,,,,,,
52,9,34,9,2,1,34.2,9.1,1,predation,modelled,,,,,,,
54,9,35,9,2,1,35.2,9.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
55,9,36,9,1,1,36.1,9.1,1,predation,modelled,Petranka 1998,,,,,,
56,9,36,9,2,1,36.2,9.1,1,predation,modelled,Petranka 2000,,,,,,
61,9,39,9,1,1,39.1,9.1,1,predation,modelled,"Hayes and Tennant 1985, Lannoo 2005",,,,,,
67,9,44,9,1,1,44.1,9.1,1,predation,modelled,Terres 1995,,,,,,
7,10,7,10,1,1,7.1,10.1,1,predation,modelled,,,,,,,
12,10,12,10,1,1,12.1,10.1,1,predation,modelled,"Tomann and Dall 1977, Davies et al. 1981, Davies and Linton 1982, Kutschsera 2003, Kreuter et al. 2008",,,,,,
16,10,16,10,1,1,16.1,10.1,1,predation,modelled,Fryer 1957,,,,,,
24,10,22,10,1,1,22.1,10.1,1,predation,modelled,Hallmark 1972,,,,,,
25,10,22,10,2,1,22.2,10.1,1,predation,modelled,Hallmark 1972,,,,,,
27,10,23,10,2,1,23.2,10.1,1,predation,modelled,Plague 1996,,,,,,
48,10,32,10,2,1,32.2,10.1,1,predation,modelled,Van Buskirk 1988,,,,,,
50,10,33,10,2,1,33.2,10.1,1,predation,modelled,,,,,,,
52,10,34,10,2,1,34.2,10.1,1,predation,modelled,,,,,,,
54,10,35,10,2,1,35.2,10.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
55,10,36,10,1,1,36.1,10.1,1,predation,modelled,Petranka 1998,,,,,,
56,10,36,10,2,1,36.2,10.1,1,predation,modelled,Petranka 2001,,,,,,
61,10,39,10,1,1,39.1,10.1,1,predation,modelled,"Hayes and Tennant 1985, Lannoo 2005",,,,,,
67,10,44,10,1,1,44.1,10.1,1,predation,modelled,Terres 1995,,,,,,
12,11,12,11,1,1,12.1,11.1,1,predation,modelled,"Tomann and Dall 1977, Davies et al. 1981, Davies and Linton 1982, Kutschsera 2003, Kreuter et al. 2008",,,,,,
48,11,32,11,2,1,32.2,11.1,1,predation,modelled,Van Buskirk 1988,,,,,,
50,11,33,11,2,1,33.2,11.1,1,predation,modelled,,,,,,,
52,11,34,11,2,1,34.2,11.1,1,predation,modelled,,,,,,,
54,11,35,11,2,1,35.2,11.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
55,11,36,11,1,1,36.1,11.1,1,predation,modelled,Petranka 1998,,,,,,
56,11,36,11,2,1,36.2,11.1,1,predation,modelled,Petranka 2002,,,,,,
61,11,39,11,1,1,39.1,11.1,1,predation,modelled,"Hayes and Tennant 1985, Lannoo 2005",,,,,,
67,11,44,11,1,1,44.1,11.1,1,predation,modelled,Terres 1995,,,,,,
7,12,7,12,1,1,7.1,12.1,1,predation,modelled,,,,,,,
24,12,22,12,1,1,22.1,12.1,1,predation,modelled,Hallmark 1972,,,,,,
25,12,22,12,2,1,22.2,12.1,1,predation,modelled,Hallmark 1972,,,,,,
27,12,23,12,2,1,23.2,12.1,1,predation,modelled,Plague 1996,,,,,,
48,12,32,12,2,1,32.2,12.1,1,predation,modelled,Van Buskirk 1988,,,,,,
50,12,33,12,2,1,33.2,12.1,1,predation,modelled,,,,,,,
52,12,34,12,2,1,34.2,12.1,1,predation,modelled,,,,,,,
54,12,35,12,2,1,35.2,12.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
55,12,36,12,1,1,36.1,12.1,1,predation,modelled,Petranka 1998,,,,,,
56,12,36,12,2,1,36.2,12.1,1,predation,modelled,Petranka 2003,,,,,,
61,12,39,12,1,1,39.1,12.1,1,predation,modelled,"Hayes and Tennant 1985, Lannoo 2005",,,,,,
63,12,40,12,1,1,40.1,12.1,1,predation,observed,Preston and Johnson In Press,,,,,,
67,12,44,12,1,1,44.1,12.1,1,predation,modelled,Terres 1995,,,,,,
24,13,22,13,1,1,22.1,13.1,1,predation,modelled,Hallmark 1972,,,,,,
25,13,22,13,2,1,22.2,13.1,1,predation,modelled,Hallmark 1972,,,,,,
27,13,23,13,2,1,23.2,13.1,1,predation,modelled,Plague 1996,,,,,,
34,13,27,13,1,1,27.1,13.1,1,predation,modelled,"Cullen 1969, Hirai 2007",,,,,,
35,13,27,13,2,1,27.2,13.1,1,predation,modelled,"Cullen 1969, Hirai 2007",,,,,,
36,13,28,13,1,1,28.1,13.1,1,predation,modelled,"Kesler and Munns 1989, Runck and Blinn 1994",,,,,,
37,13,28,13,2,1,28.2,13.1,1,predation,modelled,"Kesler and Munns 1989, Runck and Blinn 2019",,,,,,
54,13,35,13,2,1,35.2,13.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
55,13,36,13,1,1,36.1,13.1,1,predation,modelled,Petranka 1998,,,,,,
56,13,36,13,2,1,36.2,13.1,1,predation,observed,,,,,,,
57,13,37,13,1,1,37.1,13.1,1,predation,modelled,"Campbell 1970, Miller 1978, Lannoo 2005",,,,,,
61,13,39,13,1,1,39.1,13.1,1,predation,modelled,"Hayes and Tennant 1985, Lannoo 2005",,,,,,
67,13,44,13,1,1,44.1,13.1,1,predation,modelled,Terres 1995,,,,,,
94,13,58,13,4,1,58.4,13.1,12,trophically transmitted parasitism,observed,,,,,,,
96,13,59,13,2,1,59.2,13.1,4,parasitic castration,observed,,,,,,,
98,13,59,13,4,1,59.4,13.1,12,trophically transmitted parasitism,observed,,,,,,,
11,14,11,14,1,1,11.1,14.1,9,commensalism,observed,"Gruffyd 1965, Fashuyi and Williams 1977",,,,,,
24,14,22,14,1,1,22.1,14.1,1,predation,modelled,Hallmark 1972,,,,,,
25,14,22,14,2,1,22.2,14.1,1,predation,modelled,Hallmark 1972,,,,,,
27,14,23,14,2,1,23.2,14.1,1,predation,modelled,Plague 1996,,,,,,
34,14,27,14,1,1,27.1,14.1,1,predation,modelled,"Cullen 1969, Hirai 2007",,,,,,
35,14,27,14,2,1,27.2,14.1,1,predation,modelled,"Cullen 1969, Hirai 2007",,,,,,
36,14,28,14,1,1,28.1,14.1,1,predation,modelled,"Kesler and Munns 1989, Runck and Blinn 1995",,,,,,
37,14,28,14,2,1,28.2,14.1,1,predation,modelled,"Kesler and Munns 1989, Runck and Blinn 2020",,,,,,
48,14,32,14,2,1,32.2,14.1,1,predation,modelled,Van Buskirk 1988,,,,,,
54,14,35,14,2,1,35.2,14.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
55,14,36,14,1,1,36.1,14.1,1,predation,modelled,Petranka 1998,,,,,,
56,14,36,14,2,1,36.2,14.1,1,predation,observed,,,,,,,
57,14,37,14,1,1,37.1,14.1,1,predation,modelled,"Campbell 1970, Miller 1978, Lannoo 2005",,,,,,
61,14,39,14,1,1,39.1,14.1,1,predation,modelled,"Hayes and Tennant 1985, Lannoo 2005",,,,,,
67,14,44,14,1,1,44.1,14.1,1,predation,modelled,Terres 1995,,,,,,
82,14,55,14,1,1,55.1,14.1,6,macroparasitism,observed,Chernin et al. 1960,,,,,,
84,14,56,14,2,1,56.2,14.1,4,parasitic castration,observed,,,,,,,
88,14,57,14,2,1,57.2,14.1,4,parasitic castration,observed,,,,,,,
92,14,58,14,2,1,58.2,14.1,4,parasitic castration,observed,,,,,,,
94,14,58,14,4,1,58.4,14.1,12,trophically transmitted parasitism,observed,,,,,,,
98,14,59,14,4,1,59.4,14.1,12,trophically transmitted parasitism,observed,,,,,,,
100,14,60,14,2,1,60.2,14.1,4,parasitic castration,observed,,,,,,,
104,14,61,14,2,1,61.2,14.1,4,parasitic castration,observed,,,,,,,
108,14,62,14,2,1,62.2,14.1,4,parasitic castration,observed,,,,,,,
12,15,12,15,1,1,12.1,15.1,1,predation,modelled,"Tomann and Dall 1977, Davies et al. 1981, Davies and Linton 1982, Kutschsera 2003, Kreuter et al. 2008",,,,,,
16,15,16,15,1,1,16.1,15.1,1,predation,modelled,Fryer 1957,,,,,,
24,15,22,15,1,1,22.1,15.1,1,predation,modelled,Hallmark 1972,,,,,,
25,15,22,15,2,1,22.2,15.1,1,predation,modelled,Hallmark 1972,,,,,,
27,15,23,15,2,1,23.2,15.1,1,predation,modelled,Plague 1996,,,,,,
28,15,24,15,1,1,24.1,15.1,1,predation,modelled,"Gittleman 1978, Murdoch et al. 1984, Giller 1986, Blaustein 1998, Gilbert and Burns 1999",,,,,,
