"resource","consumer"
"Species 377","Species 95"
"Species 378","Species 95"
"Species 379","Species 95"
"Species 380","Species 95"
"Species 383","Species 95"
"Species 384","Species 95"
"Species 385","Species 95"
"Species 386","Species 95"
"Species 387","Species 95"
"Species 388","Species 95"
"Species 389","Species 95"
"Species 390","Species 95"
"Species 391","Species 95"
"Species 392","Species 95"
"Species 393","Species 95"
"Species 394","Species 95"
"Species 395","Species 95"
"Species 396","Species 95"
"Species 397","Species 95"
"Species 398","Species 95"
"Species 12","Species 97"
"Species 353","Species 97"
"Species 354","Species 97"
"Species 355","Species 97"
"Species 356","Species 97"
"Species 357","Species 97"
"Species 358","Species 97"
"Species 359","Species 97"
"Species 361","Species 97"
"Species 362","Species 97"
"Species 363","Species 97"
"Species 364","Species 97"
"Species 365","Species 97"
"Species 366","Species 97"
"Species 367","Species 97"
"Species 368","Species 97"
"Species 369","Species 97"
"Species 371","Species 97"
"Species 372","Species 97"
"Species 377","Species 97"
"Species 378","Species 97"
"Species 379","Species 97"
"Species 380","Species 97"
"Species 383","Species 97"
"Species 384","Species 97"
"Species 385","Species 97"
"Species 386","Species 97"
"Species 387","Species 97"
"Species 388","Species 97"
"Species 389","Species 97"
"Species 390","Species 97"
"Species 391","Species 97"
"Species 392","Species 97"
"Species 393","Species 97"
"Species 394","Species 97"
"Species 395","Species 97"
"Species 396","Species 97"
"Species 397","Species 97"
"Species 398","Species 97"
"Species 12","Species 98"
"Species 47","Species 98"
"Species 48","Species 98"
"Species 51","Species 98"
"Species 52","Species 98"
"Species 53","Species 98"
"Species 54","Species 98"
"Species 55","Species 98"
"Species 56","Species 98"
"Species 57","Species 98"
"Species 58","Species 98"
"Species 69","Species 98"
"Species 70","Species 98"
"Species 99","Species 98"
"Species 100","Species 98"
"Species 101","Species 98"
"Species 102","Species 98"
"Species 103","Species 98"
"Species 104","Species 98"
"Species 108","Species 98"
"Species 109","Species 98"
"Species 111","Species 98"
"Species 113","Species 98"
"Species 114","Species 98"
"Species 12","Species 99"
"Species 12","Species 100"
"Species 12","Species 101"
"Species 12","Species 102"
"Species 12","Species 103"
"Species 12","Species 104"
"Species 12","Species 108"
"Species 12","Species 109"
"Species 12","Species 111"
"Species 12","Species 113"
"Species 12","Species 114"
"Species 2","Species 115"
"Species 6","Species 115"
"Species 3","Species 116"
"Species 2","Species 118"
"Species 6","Species 118"
"Species 10","Species 118"
"Species 2","Species 119"
"Species 6","Species 119"
"Species 2","Species 120"
"Species 6","Species 120"
"Species 10","Species 120"
"Species 2","Species 121"
"Species 6","Species 121"
"Species 3","Species 122"
"Species 1","Species 123"
"Species 2","Species 123"
"Species 118","Species 123"
"Species 2","Species 124"
"Species 83","Species 125"
"Species 92","Species 125"
"Species 95","Species 125"
"Species 97","Species 125"
"Species 187","Species 126"
"Species 188","Species 126"
"Species 191","Species 126"
"Species 192","Species 126"
"Species 193","Species 126"
"Species 195","Species 126"
"Species 196","Species 126"
"Species 198","Species 126"
"Species 199","Species 126"
"Species 200","Species 126"
"Species 203","Species 126"
"Species 204","Species 126"
"Species 205","Species 126"
"Species 206","Species 126"
"Species 210","Species 126"
"Species 211","Species 126"
"Species 213","Species 126"
"Species 214","Species 126"
"Species 215","Species 126"
"Species 218","Species 126"
"Species 219","Species 126"
"Species 220","Species 126"
"Species 221","Species 126"
"Species 224","Species 126"
"Species 225","Species 126"
"Species 226","Species 126"
"Species 227","Species 126"
"Species 228","Species 126"
"Species 230","Species 126"
"Species 232","Species 126"
"Species 235","Species 126"
"Species 236","Species 126"
"Species 237","Species 126"
"Species 241","Species 126"
"Species 242","Species 126"
"Species 243","Species 126"
"Species 244","Species 126"
"Species 245","Species 126"
"Species 246","Species 126"
"Species 249","Species 126"
"Species 251","Species 126"
"Species 252","Species 126"
"Species 253","Species 126"
"Species 254","Species 126"
"Species 255","Species 126"
"Species 273","Species 126"
"Species 164","Species 127"
"Species 167","Species 127"
"Species 187","Species 130"
"Species 188","Species 130"
"Species 191","Species 130"
"Species 192","Species 130"
"Species 193","Species 130"
"Species 195","Species 130"
"Species 196","Species 130"
"Species 198","Species 130"
"Species 199","Species 130"
"Species 200","Species 130"
"Species 203","Species 130"
"Species 204","Species 130"
"Species 205","Species 130"
"Species 206","Species 130"
"Species 210","Species 130"
"Species 211","Species 130"
"Species 213","Species 130"
"Species 214","Species 130"
"Species 215","Species 130"
"Species 218","Species 130"
"Species 219","Species 130"
"Species 220","Species 130"
"Species 221","Species 130"
"Species 224","Species 130"
"Species 225","Species 130"
"Species 226","Species 130"
"Species 227","Species 130"
"Species 228","Species 130"
"Species 230","Species 130"
"Species 232","Species 130"
"Species 235","Species 130"
"Species 236","Species 130"
"Species 237","Species 130"
"Species 241","Species 130"
"Species 242","Species 130"
"Species 243","Species 130"
"Species 244","Species 130"
"Species 245","Species 130"
"Species 246","Species 130"
"Species 249","Species 130"
"Species 251","Species 130"
"Species 252","Species 130"
"Species 253","Species 130"
"Species 254","Species 130"
"Species 255","Species 130"
"Species 273","Species 130"
"Species 12","Species 132"
"Species 1","Species 134"
"Species 2","Species 134"
"Species 6","Species 134"
"Species 2","Species 135"
"Species 6","Species 135"
"Species 10","Species 135"
"Species 2","Species 140"
"Species 2","Species 144"
"Species 12","Species 144"
"Species 2","Species 149"
"Species 3","Species 149"
"Species 2","Species 150"
"Species 6","Species 150"
"Species 2","Species 151"
"Species 3","Species 151"
"Species 2","Species 152"
"Species 3","Species 152"
"Species 2","Species 154"
"Species 6","Species 154"
"Species 2","Species 157"
"Species 12","Species 157"
"Species 2","Species 158"
"Species 12","Species 158"
"Species 21","Species 158"
"Species 47","Species 158"
"Species 48","Species 158"
"Species 51","Species 158"
"Species 52","Species 158"
"Species 53","Species 158"
"Species 54","Species 158"
"Species 55","Species 158"
"Species 56","Species 158"
"Species 57","Species 158"
"Species 58","Species 158"
"Species 69","Species 158"
"Species 70","Species 158"
"Species 99","Species 158"
"Species 100","Species 158"
"Species 101","Species 158"
"Species 102","Species 158"
"Species 103","Species 158"
"Species 104","Species 158"
"Species 108","Species 158"
"Species 109","Species 158"
"Species 111","Species 158"
"Species 113","Species 158"
"Species 114","Species 158"
"Species 132","Species 158"
"Species 144","Species 158"
"Species 413","Species 158"
"Species 415","Species 158"
"Species 416","Species 158"
"Species 454","Species 158"
"Species 455","Species 158"
"Species 456","Species 158"
"Species 457","Species 158"
"Species 458","Species 158"
"Species 459","Species 158"
"Species 479","Species 158"
"Species 497","Species 158"
"Species 499","Species 158"
"Species 1","Species 159"
"Species 2","Species 159"
